time,distance,velocity,raw_velocity
-0.012,0,0.09738345,0.1154976
-0.011,0,0.09738331,0.115509
-0.01,0,0.09738286,0.1155319
-0.009,0,0.09738211,0.1155624
-0.008,0,0.09738107,0.115612
-0.007,0,0.09737973,0.1156578
-0.006,0,0.09737809,0.1157265
-0.005,0,0.09737615,0.115799
-0.004,0,0.09737393,0.1158867
-0.003,0,0.09737141,0.1159859
-0.002,0,0.09736859,0.1161003
-0.001,0,0.09736548,0.1162109
0,0,0.09736209,0.1163368
0.001,0,0.0973584,0.1164818
0.002,0,0.09735443,0.1166382
0.003,0,0.09735017,0.1167946
0.004,0.001,0.09734562,0.1169662
0.005,0.001,0.09734078,0.1171532
0.006,0.001,0.09733567,0.1173439
0.007,0.001,0.09733026,0.1175499
0.008,0.001,0.09732459,0.1177711
0.009,0.001,0.09731862,0.1179962
0.01,0.002,0.09731238,0.1182365
0.011,0.002,0.09730584,0.1184807
0.012,0.002,0.09729903,0.1187401
0.013,0.002,0.09729195,0.1190147
0.014,0.002,0.09728457,0.1192856
0.015,0.003,0.09727692,0.1195869
0.016,0.003,0.09726898,0.1198845
0.017,0.003,0.09726076,0.1202011
0.018,0.003,0.09725225,0.1205254
0.019,0.004,0.09724346,0.1208572
0.02,0.004,0.09723438,0.1212044
0.021,0.004,0.097225,0.1215668
0.022,0.004,0.09721533,0.1219254
0.023,0.005,0.09720537,0.1223068
0.024,0.005,0.0971951,0.1226997
0.025,0.005,0.09718454,0.1230927
0.026,0.006,0.09717366,0.1235085
0.027,0.006,0.09716248,0.1239281
0.028,0.006,0.09715097,0.1243591
0.029,0.007,0.09713915,0.1248016
0.03,0.007,0.09712699,0.1252594
0.031,0.007,0.0971145,0.1257286
0.032,0.008,0.09710167,0.126194
0.033,0.008,0.09708849,0.1266861
0.034,0.008,0.09707496,0.1271782
0.035,0.009,0.09706106,0.1276932
0.036,0.009,0.09704679,0.1282043
0.037,0.009,0.09703214,0.1287384
0.038,0.01,0.09701709,0.1292686
0.039,0.01,0.09700166,0.1297531
0.04,0.011,0.09698582,0.1301842
0.041,0.011,0.09696957,0.1305656
0.042,0.012,0.09695291,0.1308899
0.043,0.012,0.09693582,0.1311569
0.044,0.012,0.0969183,0.1313744
0.045,0.013,0.09690034,0.1315346
0.046,0.013,0.09688192,0.131649
0.047,0.014,0.09686304,0.131691
0.048,0.014,0.09684369,0.1317062
0.049,0.015,0.09682386,0.1316414
0.05,0.015,0.09680353,0.1315384
0.051,0.016,0.09678271,0.1313705
0.052,0.016,0.09676137,0.1311646
0.053,0.017,0.09673951,0.1308823
0.054,0.017,0.0967171,0.1305695
0.055,0.018,0.09669416,0.1301842
0.056,0.019,0.09667066,0.1297531
0.057,0.019,0.09664659,0.1292686
0.058,0.02,0.09662195,0.1287231
0.059,0.02,0.0965967,0.1281319
0.06,0.021,0.09657086,0.1274872
0.061,0.021,0.09654441,0.1267815
0.062,0.022,0.09651735,0.1260223
0.063,0.023,0.09648965,0.1252174
0.064,0.023,0.0964613,0.1243515
0.065,0.024,0.09643231,0.1234283
0.066,0.024,0.09640265,0.1224632
0.067,0.025,0.09637233,0.1214256
0.068,0.026,0.09634133,0.1203537
0.069,0.026,0.09630963,0.1192169
0.07,0.027,0.09627724,0.1180267
0.071,0.028,0.09624416,0.116787
0.072,0.028,0.09621036,0.1154823
0.073,0.029,0.09617584,0.1141396
0.074,0.03,0.0961406,0.1127319
0.075,0.03,0.09610464,0.1112747
0.076,0.031,0.09606794,0.1097603
0.077,0.032,0.0960305,0.1081963
0.078,0.032,0.09599232,0.1065674
0.079,0.033,0.09595339,0.1049004
0.08,0.034,0.09591372,0.1031647
0.081,0.035,0.0958733,0.1013832
0.082,0.035,0.09583212,0.09955215
0.083,0.036,0.0957902,0.09765244
0.084,0.037,0.09574753,0.09571075
0.085,0.038,0.09570411,0.09371185
0.086,0.038,0.09565993,0.09165573
0.087,0.039,0.09561502,0.08955383
0.088,0.04,0.09556936,0.08740616
0.089,0.041,0.09552298,0.08530807
0.09,0.042,0.09547586,0.08327103
0.091,0.042,0.09542801,0.08129501
0.092,0.043,0.09537946,0.07937622
0.093,0.044,0.09533019,0.07751846
0.094,0.045,0.09528022,0.07572556
0.095,0.046,0.09522957,0.07399368
0.096,0.047,0.09517824,0.07232666
0.097,0.047,0.09512624,0.07071686
0.098,0.048,0.09507359,0.06917572
0.099,0.049,0.0950203,0.06767654
0.1,0.05,0.09496639,0.06625366
0.101,0.051,0.09491186,0.064888
0.102,0.052,0.09485674,0.063591
0.103,0.053,0.09480104,0.06234741
0.104,0.054,0.09474477,0.06116867
0.105,0.055,0.09468795,0.06005096
0.106,0.055,0.09463061,0.05899048
0.107,0.056,0.09457276,0.05799103
0.108,0.057,0.09451441,0.05706024
0.109,0.058,0.0944556,0.05619049
0.11,0.059,0.09439632,0.05537415
0.111,0.06,0.09433661,0.05462646
0.112,0.061,0.09427649,0.05393219
0.113,0.062,0.09421597,0.05330658
0.114,0.063,0.09415507,0.052742
0.115,0.064,0.09409382,0.05223465
0.116,0.065,0.09403224,0.05178833
0.117,0.066,0.09397034,0.05141068
0.118,0.067,0.09390815,0.05108643
0.119,0.068,0.09384569,0.05082703
0.12,0.069,0.09378298,0.05062866
0.121,0.07,0.09372003,0.05049133
0.122,0.071,0.09365688,0.05041504
0.123,0.072,0.09359354,0.05039978
0.124,0.073,0.09353003,0.05044937
0.125,0.074,0.093466369999999993,0.05055237
0.126,0.075,0.09340259,0.05072784
0.127,0.077,0.09333869,0.0509491
0.128,0.078,0.09327471,0.05125046
0.129,0.079,0.09321065,0.05160141
0.13,0.08,0.09314655,0.05201721
0.131,0.081,0.09308241,0.05248642
0.132,0.082,0.09301825,0.05302811
0.133,0.083,0.0929541,0.05362701
0.134,0.084,0.09288996,0.05429077
0.135,0.085,0.09282586,0.05500793
0.136,0.087,0.09276181,0.05579376
0.137,0.088,0.09269781,0.056633
0.138,0.089,0.0926339,0.05753326
0.139,0.09,0.09257008,0.05843353
0.14,0.091,0.09250636,0.05934525
0.141,0.092,0.09244276,0.06024933
0.142,0.094,0.09237928,0.06115723
0.143,0.095,0.09231593,0.06207275
0.144,0.096,0.09225272,0.06297684
0.145,0.097,0.09218965,0.06388855
0.146,0.098,0.09212675,0.06480026
0.147,0.1,0.092063999999999993,0.06570816
0.148,0.101,0.09200142,0.0666275
0.149,0.102,0.091939,0.06753159
0.15,0.103,0.09187676,0.06845093
0.151,0.104,0.09181469,0.06935883
0.152,0.106,0.09175279,0.07027817
0.153,0.107,0.09169106,0.07119751
0.154,0.108,0.09162951,0.07211304
0.155,0.11,0.09156813,0.07302856
0.156,0.111,0.09150691,0.07394409
0.157,0.112,0.09144586,0.07486343
0.158,0.113,0.09138497,0.07578278
0.159,0.115,0.09132423,0.07670593
0.16,0.116,0.09126365,0.07762527
0.161,0.117,0.09120321,0.07854462
0.162,0.119,0.09114291,0.07946396
0.163,0.12,0.09108274,0.08039093
0.164,0.121,0.09102269,0.08131027
0.165,0.123,0.09096275,0.08223724
0.166,0.124,0.09090292,0.08316422
0.167,0.125,0.09084318,0.08408737
0.168,0.127,0.09078352,0.08501053
0.169,0.128,0.09072394,0.08594131
0.17,0.129,0.09066442,0.08686829
0.171,0.131,0.09060495,0.08779526
0.172,0.132,0.09054552,0.08872223
0.173,0.134,0.09048611,0.08965302
0.174,0.135,0.09042672,0.0905838
0.175,0.136,0.09036732,0.0915184
0.176,0.138,0.09030791,0.09244919
0.177,0.139,0.09024848,0.09337616
0.178,0.141,0.090189,0.09430695
0.179,0.142,0.09012947,0.09524918
0.18,0.144,0.09006987,0.09617615
0.181,0.145,0.09001018,0.09711838
0.182,0.147,0.08995041,0.09804535
0.183,0.148,0.08989051,0.09899139
0.184,0.15,0.0898305,0.09992218
0.185,0.151,0.08977034,0.1008606
0.186,0.152,0.08971003,0.101799
0.187,0.154,0.08964955,0.1027412
0.188,0.155,0.0895889,0.1036682
0.189,0.157,0.08952805,0.1045456
0.19,0.158,0.089467,0.1053543
0.191,0.16,0.08940575,0.106102
0.192,0.162,0.08934426,0.1067886
0.193,0.163,0.08928253,0.1074028
0.194,0.165,0.08922055,0.1079597
0.195,0.166,0.08915833,0.1084557
0.196,0.168,0.08909583,0.1088829
0.197,0.169,0.08903306,0.1092377
0.198,0.171,0.08897001,0.1095467
0.199,0.172,0.08890668,0.1097755
0.2,0.174,0.08884306,0.1099434
0.201,0.176,0.08877913,0.110054
0.202,0.177,0.0887149,0.110096
0.203,0.179,0.08865037,0.1100731
0.204,0.18,0.08858553,0.109993
0.205,0.182,0.08852037,0.1098366
0.206,0.184,0.0884549,0.1096268
0.207,0.185,0.08838912,0.1093483
0.208,0.187,0.08832303,0.109005
0.209,0.189,0.08825662,0.1086006
0.21,0.19,0.08818991,0.1081314
0.211,0.192,0.08812287,0.1075935
0.212,0.194,0.08805554,0.1069946
0.213,0.195,0.08798791,0.1063347
0.214,0.197,0.08791998,0.1056099
